Unidad,Sitio,Año,S,N,J,H,L
97,Las Peñitas,2000,8,80,0.551762856,1.147358603,0.562341772
98,Las Peñitas,2000,5,34,0.938986401,1.511240312,0.786096257
99,Las Peñitas,2000,6,119,0.565310004,1.012899552,0.569007264
100,Las Peñitas,2000,6,37,0.566413297,1.014876388,0.492492492
101,Las Peñitas,2000,9,93,0.701031554,1.540323761,0.692379617
102,Mazunte,2000,3,141,0.812078993,0.892159961,0.560081054
103,Mazunte,2000,6,438,0.728193469,1.304747544,0.694377397
104,Mazunte,2000,5,143,0.791609492,1.274046328,0.681571949
105,Mazunte,2000,8,203,0.520322114,1.081979418,0.564210116
106,Mazunte,2000,4,198,0.893513277,1.238672418,0.675024355
107,Agua Verde,2000,9,54,0.727366546,1.598187652,0.714884696
108,Agua Verde,2000,6,103,0.584514754,1.047309846,0.511326861
109,Agua Verde,2000,8,19,0.87002118,1.809158184,0.842105263
110,Agua Verde,2000,8,30,0.883512593,1.837212789,0.83908046
111,Agua Verde,2000,8,53,0.660909985,1.374323678,0.664005806
112,Agua Verde,2000,12,186,0.602365215,1.496821328,0.610868933
113,Agua Verde,2000,10,70,0.585103567,1.347250751,0.596273292
114,Agua Verde,2000,6,27,0.7932261,1.421270377,0.723646724
115,Agua Verde,2000,9,78,0.685921963,1.507124595,0.70995671
116,Agua Verde,2000,8,101,0.616751182,1.282498028,0.641386139
117,Agua Verde,2000,14,122,0.78281971,2.065906094,0.829697873
118,Agua Verde,2000,16,101,0.835480648,2.316444222,0.888316832
119,Agua Verde,2000,9,47,0.805147445,1.769089753,0.778908418
120,Agua Verde,2000,9,40,0.741016455,1.628179568,0.762820513
121,Agua Verde,2000,9,88,0.879131071,1.931648395,0.844827586
122,Agua Verde,2000,13,223,0.386538812,0.991452478,0.408192946
123,Agua Verde,2000,6,76,0.349357077,0.625963851,0.266666667
124,Agua Verde,2000,9,84,0.539375961,1.185130117,0.540734366
125,Agua Verde,2000,10,135,0.83211048,1.916005187,0.830514096
126,Agua Verde,2000,9,162,0.515100173,1.13179076,0.523042711
127,Los Misioneros,2000,22,258,0.775201014,2.396179244,0.84637891
128,Los Misioneros,2000,16,232,0.732845375,2.031878823,0.814449918
129,Los Misioneros,2000,21,530,0.70394882,2.143187977,0.818860791
130,Los Misioneros,2000,9,72,0.849335295,1.866180384,0.820031299
131,Los Misioneros,2000,10,110,0.950293401,2.188131419,0.886738949
132,Los Misioneros,2000,12,61,0.84379551,2.096753073,0.859016393
133,Los Misioneros,2000,20,66,0.911357151,2.73018203,0.933799534
134,Los Misioneros,2000,11,46,0.881768572,2.11438869,0.877294686
135,Los Misioneros,2000,17,123,0.921254917,2.610111725,0.915367186
136,Los Misioneros,2000,12,188,0.637575659,1.584315994,0.647684606
137,Costa Azul,2000,12,130,0.72372338,1.79838504,0.774001193
138,Costa Azul,2000,12,69,0.748246342,1.85932231,0.772804774
139,Costa Azul,2000,24,312,0.550912323,1.750829019,0.705375546
140,Costa Azul,2000,13,61,0.796399746,2.042725016,0.828415301
141,Costa Azul,2000,17,163,0.689615148,1.95382684,0.802469136
142,Costa Azul,2000,16,276,0.547436283,1.517815664,0.67140975
143,Costa Azul,2000,11,96,0.755635159,1.811933976,0.793640351
144,Costa Azul,2000,13,54,0.874819644,2.243868085,0.883298393
145,Costa Azul,2000,10,96,0.608845351,1.401918228,0.644078947
146,Costa Azul,2000,6,26,0.611747066,1.096103599,0.550769231
147,La Lobera,2000,16,430,0.427161688,1.184343677,0.468618204
148,La Lobera,2000,14,193,0.528495371,1.394729582,0.573996114
149,La Lobera,2000,17,85,0.729311449,2.06629493,0.828571429
150,La Lobera,2000,13,60,0.839846172,2.154162899,0.867231638
151,La Lobera,2000,18,151,0.728236431,2.104874014,0.800618102
152,La Lobera,2000,19,2603,0.160941722,0.47388308,0.175484859
153,La Lobera,2000,14,130,0.662990461,1.749669836,0.733929636
154,La Lobera,2000,10,201,0.697655962,1.606412218,0.721442786
155,La Lobera,2000,9,50,0.604221303,1.327609896,0.605714286
156,Siete mares,2000,21,402,0.611388027,1.861384565,0.778687609
157,Siete mares,2000,13,224,0.700047875,1.795587347,0.75180173
158,Siete mares,2000,20,397,0.481939943,1.44376304,0.582360125
159,Siete mares,2000,24,407,0.627605626,1.994564462,0.745113228
160,Siete mares,2000,18,170,0.595647211,1.721641876,0.664740689
161,Siete mares,2000,23,156,0.729293711,2.286696211,0.820430108
162,Siete mares,2000,20,132,0.787064104,2.357833338,0.865718251
163,Siete mares,2000,22,130,0.747635795,2.310973981,0.84090638
164,Siete mares,2000,10,128,0.758485455,1.746477302,0.770915354
165,Siete mares,2000,13,59,0.884455983,2.268584804,0.891291642
166,El Costeño,2000,12,115,0.741632352,1.842887163,0.776811594
167,El Costeño,2000,15,363,0.622954163,1.686991146,0.671400088
168,El Costeño,2000,11,87,0.780284321,1.871040086,0.803795777
169,El Costeño,2000,8,30,0.875846416,1.821271422,0.827586207
170,El Costeño,2000,11,47,0.81015561,1.942668306,0.80573543
171,El Costeño,2000,7,26,0.803492577,1.56352436,0.763076923
172,El Costeño,2000,20,245,0.59612159,1.785820687,0.741820007
173,El Costeño,2000,19,140,0.727914458,2.143299705,0.831449126
174,El Costeño,2000,12,104,0.697361012,1.732877015,0.730582524
175,El Costeño,2000,9,67,0.669300793,1.470604152,0.684758028
176,Tlacopanocha,2000,10,49,0.716911391,1.650749481,0.740646259
177,Tlacopanocha,2000,17,171,0.572941515,1.623265547,0.669693842
178,Tlacopanocha,2000,15,164,0.695194977,1.882622896,0.786697591
179,Tlacopanocha,2000,17,100,0.835569184,2.367345761,0.882626263
180,Tlacopanocha,2000,11,199,0.512258615,1.228342511,0.572965839
181,Tlacopanocha,2000,14,108,0.652064986,1.720836882,0.716337833
182,Tlacopanocha,2000,18,253,0.681862304,1.970835548,0.794403664
183,Tlacopanocha,2000,17,375,0.656449415,1.859861242,0.791215686
184,Tlacopanocha,2000,15,695,0.606309499,1.641916562,0.751680385
185,Tlacopanocha,2000,11,302,0.683335942,1.638568026,0.724978548
186,Tlacopanocha,2000,20,674,0.65507683,1.962434801,0.734996759
187,Tlacopanocha,2000,14,211,0.488452107,1.289053114,0.53572557
188,Tlacopanocha,2000,16,506,0.605838824,1.679741891,0.748820099
189,Tlacopanocha,2000,25,425,0.546649028,1.75959534,0.676415094
190,Tlacopanocha,2000,15,495,0.686505032,1.859090089,0.794479205
191,Tlacopanocha,2000,19,214,0.65956533,1.942049868,0.74797069
192,Tlacopanocha,2000,14,101,0.772000621,2.037353898,0.823366337
193,Tlacopanocha,2000,10,40,0.882000752,2.030881783,0.864102564
194,Tlacopanocha,2000,16,204,0.536598318,1.487766445,0.662416691
195,Tlacopanocha,2000,10,42,0.805938339,1.855741606,0.81533101
196,Los Nidos,2000,9,60,0.882438902,1.938916445,0.848587571
197,Los Nidos,2000,6,32,0.904087012,1.619906464,0.800403226
198,Los Nidos,2000,16,95,0.850222702,2.357317876,0.884658455
199,Los Nidos,2000,10,48,0.807433409,1.859184131,0.821808511
200,Los Nidos,2000,17,104,0.811502222,2.299158925,0.864637789
201,Los Nidos,2000,7,47,0.874147419,1.701012334,0.797409806
202,Los Nidos,2000,6,18,0.87369155,1.565445107,0.797385621
203,Los Nidos,2000,5,117,0.661305283,1.064329794,0.606690245
204,Los Nidos,2000,9,38,0.814090314,1.788739245,0.79374111
205,Los Nidos,2000,9,48,0.717730924,1.577016026,0.720744681
206,Mesa Pareja,2000,8,43,0.867576668,1.804074965,0.830564784
207,Mesa Pareja,2000,14,153,0.712312316,1.879833039,0.800395597
208,Mesa Pareja,2000,15,135,0.645233127,1.747323699,0.711442786
209,Mesa Pareja,2000,26,147,0.723229654,2.356352031,0.839250769
210,Mesa Pareja,2000,17,189,0.734583037,2.081230463,0.810649555
211,Mesa Pareja,2000,18,243,0.714821404,2.066099598,0.839098051
212,Mesa Pareja,2000,12,160,0.730462765,1.815131781,0.791902516
213,Mesa Pareja,2000,13,87,0.837628361,2.148474327,0.862068966
214,Mesa Pareja,2000,26,227,0.660747837,2.152780241,0.820708744
215,Mesa Pareja,2000,12,87,0.495553767,1.231404852,0.510024058
216,Manzanillo,2000,10,56,0.764085078,1.759370909,0.796103896
217,Manzanillo,2000,14,211,0.512971947,1.353762377,0.544256376
218,Manzanillo,2000,14,46,0.911869565,2.40647606,0.909178744
219,Manzanillo,2000,8,48,0.837818887,1.742195397,0.783687943
220,Manzanillo,2000,7,46,0.731600547,1.423628929,0.670531401
221,Manzanillo,2000,7,23,0.535163458,1.041380005,0.462450593
222,Manzanillo,2000,15,133,0.666121283,1.803889875,0.772043746
223,Manzanillo,2000,16,128,0.666861045,1.848931411,0.768823819
224,Manzanillo,2000,7,41,0.632557414,1.230899892,0.595121951
225,Manzanillo,2000,8,43,0.697269203,1.449930547,0.714285714
226,La Diana,2000,16,74,0.865629104,2.400033492,0.901517956
227,La Diana,2000,11,32,0.784147515,1.880303619,0.810483871
228,La Diana,2000,8,20,0.867203166,1.803298288,0.836842105
229,La Diana,2000,9,28,0.730624958,1.605347115,0.735449735
230,La Diana,2000,19,91,0.915632309,2.69602346,0.930647131
231,La Diana,2000,18,237,0.72847591,2.105566196,0.81280841
232,La Diana,2000,8,53,0.664427738,1.381638639,0.642960813
233,La Diana,2000,13,110,0.553273738,1.41911912,0.57881568
234,La Diana,2000,13,141,0.416931953,1.069409346,0.409118541
235,La Diana,2000,20,90,0.816357892,2.445589685,0.880898876
236,El Papagayo,2000,24,95,0.774778656,2.462288276,0.852631579
237,El Papagayo,2000,20,121,0.844517497,2.529948322,0.900550964
238,El Papagayo,2000,21,154,0.852018551,2.593989597,0.901791019
239,El Papagayo,2000,13,125,0.726233046,1.862750985,0.806064516
240,El Papagayo,2000,17,116,0.62142702,1.760635326,0.702548726
241,El Papagayo,2000,8,193,0.67669004,1.40713738,0.70552677
242,El Papagayo,2000,14,144,0.770048951,2.032203328,0.835664336
243,El Papagayo,2000,17,96,0.810708187,2.296909255,0.871491228
244,El Papagayo,2000,18,367,0.649450668,1.87715387,0.788389095
245,El Papagayo,2000,13,93,0.736861602,1.890012694,0.791023843
246,Punta Botella,2000,12,137,0.673454934,1.673472644,0.729390296
247,Punta Botella,2000,16,316,0.227109506,0.629681255,0.213944143
248,Punta Botella,2000,10,38,0.811287837,1.868059279,0.803698435
249,Punta Botella,2000,14,183,0.829326648,2.18864057,0.866330391
250,Punta Botella,2000,19,219,0.868709867,2.557863193,0.904277156
251,Punta Botella,2000,7,19,0.891443418,1.734668795,0.830409357
252,Punta Botella,2000,6,13,0.885035554,1.585770835,0.820512821
253,Punta Botella,2000,9,14,0.958744661,2.106577333,0.934065934
254,Punta Botella,2000,14,78,0.802052002,2.116661215,0.852480852
255,Punta Botella,2000,10,23,0.851029794,1.959568517,0.85770751
256,Punta Botella,2000,7,71,0.35228695,0.685518752,0.284507042
257,Punta Botella,2000,11,108,0.336576636,0.807075525,0.304603669
258,Punta Botella,2000,10,40,0.717348056,1.65175494,0.721794872
259,Punta Botella,2000,19,224,0.591630102,1.742018735,0.722053171
260,Punta Botella,2000,9,56,0.772204858,1.696707492,0.778571429
261,Punta Botella,2000,3,25,0.827058241,0.908616347,0.586666667
262,Punta Botella,2000,11,72,0.79375934,1.903351769,0.806729264
263,Punta Botella,2000,10,73,0.772259112,1.778192319,0.77891933
264,Punta Botella,2000,11,45,0.918862202,2.203335331,0.892929293
265,Punta Botella,2000,8,30,0.854089127,1.776028411,0.822988506
266,Tlacoyunque,2000,14,124,0.678551571,1.790736496,0.725937582
267,Tlacoyunque,2000,19,360,0.589935655,1.737029539,0.759625503
268,Tlacoyunque,2000,16,183,0.721211346,1.999622443,0.807602234
269,Tlacoyunque,2000,17,144,0.773840444,2.192455072,0.853535354
270,Tlacoyunque,2000,14,84,0.757656998,1.999500255,0.802639128
271,Tlacoyunque,2000,5,62,0.588224416,0.946710677,0.475409836
272,Tlacoyunque,2000,11,204,0.685500262,1.643757839,0.727470298
273,Tlacoyunque,2000,9,55,0.845405351,1.857545415,0.830976431
274,Tlacoyunque,2000,4,27,0.930425872,1.289844139,0.723646724
275,Tlacoyunque,2000,6,42,0.698550348,1.251634202,0.648083624
276,Rodadero,2000,15,42,0.816017368,2.209815997,0.847851336
277,Rodadero,2000,14,122,0.750065067,1.979464713,0.778756266
278,Rodadero,2000,18,132,0.685750903,1.982075043,0.785912561
279,Rodadero,2000,12,43,0.8558313,2.126660888,0.871539313
280,Rodadero,2000,21,95,0.729159909,2.219943703,0.814781635
281,Rodadero,2000,16,191,0.70597134,1.957368175,0.788371452
282,Rodadero,2000,24,260,0.722311597,2.295545139,0.862964063
283,Rodadero,2000,21,173,0.763520106,2.324554094,0.843527356
284,Rodadero,2000,23,134,0.818942122,2.567788285,0.882168107
285,Rodadero,2000,19,236,0.793989018,2.337852213,0.86440678
286,Rodadero,2000,21,266,0.720737778,2.194302338,0.814924103
