Medición 	Año	Mes 	Perimetro.cm	Diametro.cm	Biomasa.kg	Carbono.kg.C	Area.m2
430	2018	Septiembre	60.3	19.194	181.692	83.57842965	2.894
431	2018	Septiembre	35	11.141	47.377	21.79326332	0.975
432	2018	Septiembre	75.5	24.032	316.65	145.6589068	4.536
433	2018	Septiembre	47.5	15.12	100.759	46.34896473	1.795
434	2018	Septiembre	20.5	6.525	12.633	5.811308342	0.334
435	2018	Septiembre	77	24.51	332.423	152.9145146	4.718
436	2018	Septiembre	73	23.237	291.369	134.02966	4.241
437	2017	Septiembre	39.5	12.573	63.88	29.38471967	1.242
438	2017	Septiembre	58	18.462	165.045	75.92078689	2.677
439	2017	Septiembre	43.8	13.942	82.462	37.93260387	1.527
440	2017	Septiembre	39	12.414	61.9	28.47415027	1.21
441	2017	Septiembre	32	10.186	37.966	17.46448265	0.815
442	2017	Septiembre	85.1	27.088	425.626	195.7880007	5.763
443	2017	Septiembre	39.5	12.573	63.88	29.38471967	1.242
444	2017	Septiembre	234	74.484	5182.087	2383.759914	43.573
445	2017	Septiembre	20	6.366	11.885	5.467329495	0.318
446	2017	Septiembre	48	15.279	103.4	47.56387468	1.833
447	2017	Septiembre	43	13.687	78.79	36.24354606	1.471
448	2017	Septiembre	25.5	8.117	21.664	9.965312323	0.517
449	2017	Septiembre	60	19.099	179.467	82.55471232	2.865
450	2017	Septiembre	74	23.555	301.331	138.6122803	4.358
451	2017	Septiembre	53	16.87	132.086	60.7597254	2.235
452	2017	Septiembre	56.5	17.984	154.698	71.16096735	2.54
453	2017	Septiembre	39.4	12.541	63.481	29.20123994	1.235
454	2017	Septiembre	18	5.73	9.161	4.214135433	0.258
455	2017	Septiembre	53	16.87	132.086	60.7597254	2.235
456	2017	Septiembre	91	28.966	502.3	231.0582124	6.59
457	2017	Septiembre	24	7.639	18.65	8.578909905	0.458
458	2017	Septiembre	46.4	14.77	95.091	43.74174038	1.713
